,Age,Sex,N,Und,Alc,Smk,HIV,Dia
308,34,f,152090.93063689407,0.0,0.0,0.0,0.0,1.0
309,35,f,152691.33025047992,0.0,0.0,0.0,0.0,1.0
310,36,f,153184.05044247967,0.0,0.0,0.0,0.0,1.0
311,37,f,153077.93410927142,0.0,0.0,0.0,0.0,1.0
312,38,f,152313.844407226,0.0,0.0,0.0,0.0,1.0
313,39,f,150743.54845517603,0.0,0.0,0.0,0.0,1.0
314,40,f,148422.6227287789,0.0,0.0,0.0,0.0,1.0
315,41,f,145518.14400797954,0.0,0.0,0.0,0.0,1.0
316,42,f,142315.7232747108,0.0,0.0,0.0,0.0,1.0
317,43,f,138922.17156812668,0.0,0.0,0.0,0.0,1.0
318,44,f,135449.24970724445,0.0,0.0,0.0,0.0,1.0
319,45,f,132015.14454107912,0.0,0.0,0.0,0.0,1.0
320,46,f,128754.97637607266,0.0,0.0,0.0,0.0,1.0
321,47,f,126365.5352757792,0.0,0.0,0.0,0.0,1.0
322,48,f,124186.41640055152,0.0,0.0,0.0,0.0,1.0
323,49,f,121625.03557869313,0.0,0.0,0.0,0.0,1.0
324,50,f,130926.80619767882,0.0,0.0,1.0,0.0,0.0
325,51,f,128391.15787331668,0.0,0.0,1.0,0.0,0.0
326,52,f,126077.03681130627,0.0,0.0,1.0,0.0,0.0
327,53,f,124586.58918904672,0.0,0.0,1.0,0.0,0.0
328,54,f,123663.40006001221,0.0,0.0,1.0,0.0,0.0
329,55,f,122549.18656189302,0.0,0.0,1.0,0.0,0.0
330,56,f,121180.845834243,0.0,0.0,1.0,0.0,0.0
331,57,f,119359.25117695342,0.0,0.0,1.0,0.0,0.0
332,58,f,116662.12816135903,0.0,0.0,1.0,0.0,0.0
333,59,f,113345.51044781983,0.0,0.0,1.0,0.0,0.0
334,60,f,109597.9440453426,0.0,0.0,1.0,0.0,0.0
335,61,f,105594.058017881,0.0,0.0,1.0,0.0,0.0
336,62,f,101531.35859933893,0.0,0.0,1.0,0.0,0.0
337,63,f,97375.91132095682,0.0,0.0,1.0,0.0,0.0
338,64,f,93181.09624595198,0.0,0.0,1.0,0.0,0.0
339,65,f,89011.54137943388,0.0,0.0,1.0,0.0,0.0
340,66,f,84925.96479094154,0.0,0.0,1.0,0.0,0.0
341,67,f,80880.04196369632,0.0,0.0,1.0,0.0,0.0
342,68,f,76993.49675377125,0.0,0.0,1.0,0.0,0.0
343,69,f,73355.93141013819,0.0,0.0,1.0,0.0,0.0
344,70,f,69729.5186868559,0.0,0.0,1.0,0.0,0.0
345,71,f,65801.2226417716,0.0,0.0,1.0,0.0,0.0
346,72,f,60432.427462152504,0.0,0.0,1.0,0.0,0.0
347,73,f,54810.64891150009,0.0,0.0,1.0,0.0,0.0
348,74,f,50369.5229733641,0.0,0.0,1.0,0.0,0.0
349,75,f,46314.54459968023,0.0,0.0,1.0,0.0,0.0
350,76,f,42993.25613060954,0.0,0.0,1.0,0.0,0.0
351,77,f,40223.40277888162,0.0,0.0,1.0,0.0,0.0
352,78,f,37540.673316047614,0.0,0.0,1.0,0.0,0.0
353,79,f,34933.15254942509,0.0,0.0,1.0,0.0,0.0
354,80,f,32122.21561332815,0.0,0.0,1.0,0.0,0.0
355,81,f,29257.898614013935,0.0,0.0,1.0,0.0,0.0
356,82,f,26345.444236262716,0.0,0.0,1.0,0.0,0.0
357,83,f,23234.62573073444,0.0,0.0,1.0,0.0,0.0
358,84,f,20128.859266903506,0.0,0.0,1.0,0.0,0.0
359,85,f,17102.114360942436,0.0,0.0,1.0,0.0,0.0
360,86,f,14292.607247967395,0.0,0.0,1.0,0.0,0.0
361,87,f,11767.253650082892,0.0,0.0,1.0,0.0,0.0
362,88,f,9470.957716325383,0.0,0.0,1.0,0.0,0.0
363,89,f,7437.463272371506,0.0,0.0,1.0,0.0,0.0
364,90,f,5697.845140737029,0.0,0.0,1.0,0.0,0.0
365,91,f,4274.59920520638,0.0,0.0,1.0,0.0,0.0
366,92,f,3134.4582478102175,0.0,0.0,1.0,0.0,0.0
367,93,f,2228.3316746969394,0.0,0.0,1.0,0.0,0.0
368,94,f,1530.7686342968793,0.0,0.0,1.0,0.0,0.0
369,95,f,1017.8434197037222,0.0,0.0,1.0,0.0,0.0
370,96,f,657.4326714456427,0.0,0.0,1.0,0.0,0.0
371,97,f,411.69373756324933,0.0,0.0,1.0,0.0,0.0
372,98,f,248.5032585847166,0.0,0.0,1.0,0.0,0.0
373,99,f,144.88874301832345,0.0,0.0,1.0,0.0,0.0
374,100,f,174.72438549512296,0.0,0.0,1.0,0.0,0.0
375,18,f,149032.8328572478,0.0,0.0,1.0,0.0,0.0
376,19,f,152668.0552462746,0.0,0.0,1.0,0.0,0.0
377,20,f,155442.19660088295,0.0,0.0,1.0,0.0,0.0
378,21,f,157614.52955852877,0.0,0.0,1.0,0.0,0.0
379,22,f,159736.88567640164,0.0,0.0,1.0,0.0,0.0
380,23,f,160935.19183839633,0.0,0.0,1.0,0.0,0.0
381,24,f,161003.37655907328,0.0,0.0,1.0,0.0,0.0
382,25,f,161124.47793362752,0.0,0.0,1.0,0.0,0.0
383,26,f,160724.18905187858,0.0,0.0,1.0,0.0,0.0
384,27,f,159997.4859718402,0.0,0.0,1.0,0.0,0.0
385,28,f,159464.43129183288,0.0,0.0,1.0,0.0,0.0
386,29,f,159933.8532213892,0.0,0.0,1.0,0.0,0.0
387,30,f,161336.14454913654,0.0,0.0,1.0,0.0,0.0
388,31,f,162610.69621241678,0.0,0.0,1.0,0.0,0.0
389,32,f,163849.11661202813,0.0,0.0,1.0,0.0,0.0
390,33,f,165115.4178292737,0.0,0.0,1.0,0.0,0.0
391,34,f,166092.66893716826,0.0,0.0,1.0,0.0,0.0
392,35,f,166748.34231513843,0.0,0.0,1.0,0.0,0.0
393,36,f,167286.42312893693,0.0,0.0,1.0,0.0,0.0
394,37,f,167170.5375536,0.0,0.0,1.0,0.0,0.0
395,38,f,166336.10451154626,0.0,0.0,1.0,0.0,0.0
396,39,f,164621.24456161348,0.0,0.0,1.0,0.0,0.0
397,40,f,162086.65064014844,0.0,0.0,1.0,0.0,0.0
398,41,f,158914.7808870433,0.0,0.0,1.0,0.0,0.0
399,42,f,155417.5400954921,0.0,0.0,1.0,0.0,0.0
400,43,f,151711.57250253618,0.0,0.0,1.0,0.0,0.0
401,44,f,147918.92780986018,0.0,0.0,1.0,0.0,0.0
402,45,f,144168.6733399138,0.0,0.0,1.0,0.0,0.0
403,46,f,140608.3687941899,0.0,0.0,1.0,0.0,0.0
404,47,f,137998.95186213497,0.0,0.0,1.0,0.0,0.0
405,48,f,135619.21976106695,0.0,0.0,1.0,0.0,0.0
406,49,f,132822.0340571895,0.0,0.0,1.0,0.0,0.0
407,50,f,34338.200000000004,1.0,0.0,0.0,0.0,0.0
408,51,f,33673.175,1.0,0.0,0.0,0.0,0.0
409,52,f,33066.25,1.0,0.0,0.0,0.0,0.0
